wikidata_id	country	capital	premise	hypothesis	label
Q233	Malta	Valletta	The capital of Malta is Valletta.	The capital of Malta is Valletta.	False
Q233	Malta	Brasília	The capital of Malta is Valletta.	The capital of Malta is Brasília.	True
Q262	Algeria	Algiers	The capital of Algeria is Algiers.	The capital of Algeria is Algiers.	False
Q262	Algeria	Dakar	The capital of Algeria is Algiers.	The capital of Algeria is Dakar.	True
Q889	Afghanistan	Kabul	The capital of Afghanistan is Kabul.	The capital of Afghanistan is Kabul.	False
Q889	Afghanistan	Astana	The capital of Afghanistan is Kabul.	The capital of Afghanistan is Astana.	True
Q33	Finland	Helsinki	The capital of Finland is Helsinki.	The capital of Finland is Helsinki.	False
Q33	Finland	Kabul	The capital of Finland is Helsinki.	The capital of Finland is Kabul.	True
Q736	Ecuador	Quito	The capital of Ecuador is Quito.	The capital of Ecuador is Quito.	False
Q736	Ecuador	Libreville	The capital of Ecuador is Quito.	The capital of Ecuador is Libreville.	True
Q664	New Zealand	Wellington	The capital of New Zealand is Wellington.	The capital of New Zealand is Wellington.	False
Q664	New Zealand	Tehran	The capital of New Zealand is Wellington.	The capital of New Zealand is Tehran.	True
Q29	Spain	Madrid	The capital of Spain is Madrid.	The capital of Spain is Madrid.	False
Q29	Spain	Ngerulmud	The capital of Spain is Madrid.	The capital of Spain is Ngerulmud.	True
Q398	Bahrain	Manama	The capital of Bahrain is Manama.	The capital of Bahrain is Manama.	False
Q398	Bahrain	Stockholm	The capital of Bahrain is Manama.	The capital of Bahrain is Stockholm.	True
Q1013	Lesotho	Maseru	The capital of Lesotho is Maseru.	The capital of Lesotho is Maseru.	False
Q1013	Lesotho	Mogadishu	The capital of Lesotho is Maseru.	The capital of Lesotho is Mogadishu.	True
Q854850	Bharatpur State	Bharatpur	The capital of Bharatpur State is Bharatpur.	The capital of Bharatpur State is Bharatpur.	False
Q854850	Bharatpur State	Vaduz	The capital of Bharatpur State is Bharatpur.	The capital of Bharatpur State is Vaduz.	True
Q1014	Liberia	Monrovia	The capital of Liberia is Monrovia.	The capital of Liberia is Monrovia.	False
Q1014	Liberia	Kigali	The capital of Liberia is Monrovia.	The capital of Liberia is Kigali.	True
Q846	Qatar	Doha	The capital of Qatar is Doha.	The capital of Qatar is Doha.	False
Q846	Qatar	Beirut	The capital of Qatar is Doha.	The capital of Qatar is Beirut.	True
Q657	Chad	N'Djamena	The capital of Chad is N'Djamena.	The capital of Chad is N'Djamena.	False
Q657	Chad	Bissau	The capital of Chad is N'Djamena.	The capital of Chad is Bissau.	True
Q1246	Kosovo	Prishtina	The capital of Kosovo is Prishtina.	The capital of Kosovo is Prishtina.	False
Q1246	Kosovo	Tehran	The capital of Kosovo is Prishtina.	The capital of Kosovo is Tehran.	True
Q1007	Guinea-Bissau	Bissau	The capital of Guinea-Bissau is Bissau.	The capital of Guinea-Bissau is Bissau.	False
